
______________ 指令统计：______________
tot: 115715549
ADC, 7689, 0.00664474%
ADD, 31288222, 27.0389%
AND, 311961, 0.269593%
BSF, 20598, 0.0178005%
BSR, 3, 2.59256e-06%
BT, 108, 9.33323e-05%
CALL_NEAR, 407841, 0.352451%
CDQE, 33343, 0.0288146%
CMOVB, 113, 9.76533e-05%
CMOVBE, 103905, 0.0897935%
CMOVNB, 2546, 0.00220022%
CMOVNBE, 2572, 0.00222269%
CMOVNZ, 491536, 0.42478%
CMOVS, 7690, 0.00664561%
CMOVZ, 2717743, 2.34864%
CMP, 18439803, 15.9355%
CMPXCHG, 102582, 0.0886501%
CPUID, 26, 2.24689e-05%
DEC, 102621, 0.0886838%
DIV, 10340, 0.0089357%
IDIV, 2, 1.72838e-06%
IMUL, 27153, 0.0234653%
INC, 8598, 0.00743029%
JB, 7395, 0.00639067%
JBE, 1588103, 1.37242%
JL, 7701, 0.00665511%
JLE, 77333, 0.0668303%
JMP, 1053024, 0.910011%
JNB, 58694, 0.0507227%
JNBE, 125867, 0.108773%
JNL, 123, 0.000106295%
JNLE, 7702, 0.00665598%
JNS, 133980, 0.115784%
JNZ, 4532042, 3.91654%
JS, 28277, 0.0244366%
JZ, 12830178, 11.0877%
LEA, 5659180, 4.8906%
LEAVE, 10322, 0.00892015%
MOV, 28054737, 24.2446%
MOVD, 18028, 0.0155796%
MOVDQA, 48895, 0.0422545%
MOVDQU, 7667, 0.00662573%
MOVSX, 20562, 0.0177694%
MOVSXD, 110427, 0.0954297%
MOVZX, 328182, 0.283611%
MUL, 45797, 0.0395772%
NEG, 2603, 0.00224948%
NOP, 81425, 0.0703665%
NOT, 8912, 0.00770164%
OR, 151123, 0.130599%
PCMPEQB, 54011, 0.0466757%
PMOVMSKB, 54011, 0.0466757%
POP, 159002, 0.137408%
PSHUFD, 18028, 0.0155796%
PUNPCKLBW, 36056, 0.0311592%
PUSH, 169374, 0.146371%
PXOR, 30781, 0.0266006%
RDTSC, 19, 1.64196e-05%
REPNE_SCASB, 235, 0.000203084%
REP_STOSQ, 312, 0.000269627%
RET_NEAR, 407836, 0.352447%
ROL, 12, 1.03703e-05%
ROR, 1, 8.64188e-07%
SAR, 134, 0.000115801%
SBB, 7972, 0.00688931%
SETNBE, 7647, 0.00660845%
SETNZ, 25654, 0.0221699%
SETZ, 18263, 0.0157827%
SHL, 85133, 0.0735709%
SHR, 157203, 0.135853%
SUB, 1081089, 0.934264%
SYSCALL, 12866, 0.0111186%
TEST, 3909013, 3.37812%
XCHG, 20, 1.72838e-05%
XGETBV, 2, 1.72838e-06%
XOR, 395601, 0.341874%
