
______________ 指令统计：______________
tot: 849593
ADD, 59004, 6.94497%
AND, 16674, 1.96259%
BSF, 873, 0.102755%
BSR, 1, 0.000117703%
BT, 185, 0.0217751%
CALL_NEAR, 9028, 1.06263%
CDQE, 1726, 0.203156%
CMOVB, 1287, 0.151484%
CMOVBE, 337, 0.0396661%
CMOVL, 1, 0.000117703%
CMOVNB, 361, 0.0424909%
CMOVNBE, 5, 0.000588517%
CMOVNL, 1, 0.000117703%
CMOVNZ, 241, 0.0283665%
CMOVS, 1, 0.000117703%
CMOVZ, 223, 0.0262479%
CMP, 74900, 8.81599%
CMPXCHG, 180, 0.0211866%
CMPXCHG_LOCK, 8, 0.000941627%
CPUID, 26, 0.00306029%
DEC, 354, 0.041667%
DEC_LOCK, 8, 0.000941627%
DIV, 1653, 0.194564%
IDIV, 2, 0.000235407%
IMUL, 2129, 0.250591%
INC, 11137, 1.31086%
JB, 6650, 0.782728%
JBE, 5935, 0.69857%
JL, 263, 0.030956%
JLE, 973, 0.114525%
JMP, 19663, 2.3144%
JNB, 4870, 0.573216%
JNBE, 12667, 1.49095%
JNL, 473, 0.0556737%
JNLE, 2647, 0.311561%
JNS, 1794, 0.21116%
JNZ, 53813, 6.33397%
JS, 80, 0.00941627%
JZ, 50908, 5.99205%
LDDQU, 49, 0.00576747%
LEA, 33412, 3.93271%
LEAVE, 58, 0.0068268%
MOV, 266257, 31.3394%
MOVD, 29, 0.0034134%
MOVDQA, 191, 0.0224814%
MOVDQU, 846, 0.0995771%
MOVHPD, 176, 0.0207158%
MOVLPD, 176, 0.0207158%
MOVQ, 50, 0.00588517%
MOVSX, 170, 0.0200096%
MOVSXD, 6195, 0.729173%
MOVZX, 29525, 3.47519%
MUL, 10, 0.00117703%
NEG, 180, 0.0211866%
NOP, 1684, 0.198213%
NOT, 32, 0.00376651%
OR, 967, 0.113819%
PCMPEQB, 1296, 0.152544%
PCMPISTRI, 31, 0.00364881%
PMOVMSKB, 1189, 0.139949%
POP, 20677, 2.43375%
PSHUFD, 79, 0.00929857%
PSLLDQ, 18, 0.00211866%
PSRLDQ, 1, 0.000117703%
PSUBB, 107, 0.0125943%
PUNPCKLBW, 158, 0.0185971%
PUSH, 20851, 2.45423%
PXOR, 1663, 0.195741%
RDTSC, 19, 0.00223636%
REP_STOSQ, 5087, 0.598757%
RET_NEAR, 9023, 1.06204%
ROL, 115, 0.0135359%
ROR, 26, 0.00306029%
SAR, 1625, 0.191268%
SBB, 124, 0.0145952%
SETB, 215, 0.0253062%
SETNBE, 24, 0.00282488%
SETNZ, 6367, 0.749418%
SETS, 27, 0.00317799%
SETZ, 550, 0.0647369%
SHL, 3308, 0.389363%
SHR, 5596, 0.658668%
SUB, 10769, 1.26755%
SYSCALL, 143, 0.0168316%
TEST, 65481, 7.70734%
XCHG, 42, 0.00494354%
XGETBV, 2, 0.000235407%
XOR, 13892, 1.63514%

______________ 立即数统计：______________
tot: 136668
有效位数: 0, 20674, 15.1272%
有效位数: 1, 39409, 28.8356%
有效位数: 2, 7159, 5.23824%
有效位数: 3, 12522, 9.16235%
有效位数: 4, 13814, 10.1077%
有效位数: 5, 10514, 7.6931%
有效位数: 6, 7412, 5.42336%
有效位数: 7, 6326, 4.62874%
有效位数: 8, 1476, 1.07999%
有效位数: 9, 525, 0.384143%
有效位数: 10, 738, 0.539995%
有效位数: 11, 204, 0.149267%
有效位数: 12, 436, 0.319021%
有效位数: 13, 626, 0.458044%
有效位数: 14, 448, 0.327802%
有效位数: 15, 557, 0.407557%
有效位数: 16, 218, 0.159511%
有效位数: 18, 1, 0.0007317%
有效位数: 20, 10, 0.007317%
有效位数: 21, 3, 0.0021951%
有效位数: 23, 199, 0.145608%
有效位数: 24, 1334, 0.976088%
有效位数: 26, 15, 0.0109755%
有效位数: 27, 16, 0.0117072%
有效位数: 28, 24, 0.0175608%
有效位数: 29, 12, 0.0087804%
有效位数: 30, 44, 0.0321948%
有效位数: 31, 484, 0.354143%
有效位数: 32, 1671, 1.22267%
有效位数: 33, 1, 0.0007317%
有效位数: 57, 24, 0.0175608%
有效位数: 60, 2, 0.0014634%
有效位数: 61, 1, 0.0007317%
有效位数: 62, 259, 0.18951%
有效位数: 64, 9510, 6.95847%

______________ 寻址方式统计：______________
tot: 1233569
寻址方式：立即数寻址, 次数: 136668, 占比: 11.0791%
寻址方式：寄存器寻址, 次数: 878385, 占比: 71.2068%
寻址方式：直接寻址, 次数: 1445, 占比: 0.11714%
寻址方式：比例变址寻址, 次数: 2509, 占比: 0.203394%
寻址方式：寄存器间接寻址, 次数: 79125, 占比: 6.41431%
寻址方式：寄存器相对寻址, 次数: 115404, 占比: 9.35529%
寻址方式：基址变址寻址, 次数: 8786, 占比: 0.712242%
寻址方式：基址比例变址寻址, 次数: 6568, 占比: 0.532439%
寻址方式：相对基址变址寻址, 次数: 3779, 占比: 0.306347%
寻址方式：相对基址比例变址寻址, 次数: 900, 占比: 0.072959%
