
______________ 指令统计：______________
指令总数: 907978
指令名称: MOV, 次数: 286882, 百分比: 31.5957%
指令名称: CMP, 次数: 79264, 百分比: 8.72973%
指令名称: TEST, 次数: 69016, 百分比: 7.60107%
指令名称: ADD, 次数: 61970, 百分比: 6.82506%
指令名称: JNZ, 次数: 56006, 百分比: 6.16821%
指令名称: JZ, 次数: 53826, 百分比: 5.92812%
指令名称: LEA, 次数: 36222, 百分比: 3.9893%
指令名称: MOVZX, 次数: 31342, 百分比: 3.45185%
指令名称: PUSH, 次数: 22891, 百分比: 2.5211%
指令名称: POP, 次数: 22717, 百分比: 2.50193%

______________ 立即数统计：______________
立即数出现总次数: 145578
有效位数: 0, 22627, 15.5429%
有效位数: 1, 41706, 28.6486%
有效位数: 2, 7630, 5.24118%
有效位数: 3, 12804, 8.79529%
有效位数: 4, 14295, 9.81948%
有效位数: 5, 11381, 7.8178%
有效位数: 6, 7797, 5.35589%
有效位数: 7, 6811, 4.67859%
有效位数: 8, 1555, 1.06816%
有效位数: 9, 564, 0.387421%
有效位数: 10, 805, 0.552968%
有效位数: 11, 204, 0.140131%
有效位数: 12, 460, 0.315982%
有效位数: 13, 696, 0.478094%
有效位数: 14, 497, 0.341398%
有效位数: 15, 557, 0.382613%
有效位数: 16, 228, 0.156617%
有效位数: 18, 1, 0.000686917%
有效位数: 20, 10, 0.00686917%
有效位数: 21, 3, 0.00206075%
有效位数: 23, 220, 0.151122%
有效位数: 24, 1500, 1.03038%
有效位数: 26, 15, 0.0103038%
有效位数: 27, 16, 0.0109907%
有效位数: 28, 24, 0.016486%
有效位数: 29, 12, 0.008243%
有效位数: 30, 44, 0.0302243%
有效位数: 31, 484, 0.332468%
有效位数: 32, 1687, 1.15883%
有效位数: 33, 1, 0.000686917%
有效位数: 57, 24, 0.016486%
有效位数: 60, 2, 0.00137383%
有效位数: 61, 1, 0.000686917%
有效位数: 62, 298, 0.204701%
有效位数: 64, 10619, 7.29437%

______________ 寻址方式统计：______________
总计: 1313874
寻址方式：立即数寻址, 次数: 145578, 占比: 11.0801%
寻址方式：寄存器寻址, 次数: 934867, 占比: 71.1535%
寻址方式：直接寻址, 次数: 1585, 占比: 0.120636%
寻址方式：比例变址寻址, 次数: 2708, 占比: 0.206108%
寻址方式：寄存器间接寻址, 次数: 83939, 占比: 6.38866%
寻址方式：寄存器相对寻址, 次数: 123580, 占比: 9.40577%
寻址方式：基址变址寻址, 次数: 9844, 占比: 0.749235%
寻址方式：基址比例变址寻址, 次数: 6805, 占比: 0.517934%
寻址方式：相对基址变址寻址, 次数: 4033, 占比: 0.306955%
寻址方式：相对基址比例变址寻址, 次数: 935, 占比: 0.0711636%
